Date      Particulars             Voucher No.       Bill No               Amount
14/07/17     RAJENDRA AGENCIES BARSHI      CR/391           1229                 1118.00
15/07/17     VIVEK AGENCIES KURDUWADI      CR/392           45                    708.00
15/07/17     SAMARATH SALES                CR/393           828                  2636.00
15/07/17     GURUKRUPA DISTRIBUTORS        CR/394           1364                  676.00
15/07/17     SHREE MEDICALS                CR/395           2328                  632.00
15/07/17     RAJENDRA AGENCIES BARSHI      CR/396           1246                 1383.00
17/07/17     GURUKRUPA DISTRIBUTORS        CR/398           1396                  335.00
17/07/17     APTE AGENCIES                 CR/399           16007                2839.00
17/07/17     SAMARTH SALES CONSUMER        CA/14            825                   679.00
17/07/17     DHANWANTARI MEDICAL STORE     CR/400           4680                 4027.00
17/07/17     SHREE MANJUSHREE PHARMA       CR/401           4850                  720.00
17/07/17     KRISHNA DISTRIBUTORS          CR/402           2647                 2738.00
17/07/17     KRISHNA DISTRIBUTORS          CR/403           2672                  599.00
17/07/17     SHREE MANJUSHREE PHARMA       CR/404           4791                 2191.00
17/07/17     SHREE MANJUSHREE PHARMA       CR/405           4818                 1536.00
17/07/17     BAHUBALI PHARMACEUTICAL D     CR/406           3278                 1915.00
17/07/17     VIVEK AGENCIES KURDUWADI      CR/407           63                   1625.00
18/07/17     METRO PHARMA                  CA/15            3650                  601.00
18/07/17     SHRI BALAJI AGENCIES          CR/409           611                  2577.00
19/07/17     RAJENDRA MEDICAL STORES       CR/397           645                   302.00
19/07/17     BAHUBALI PHARMACEUTICAL D     CR/410           3336                  378.00
19/07/17     RAJENDRA AGENCIES BARSHI      CR/411           1281                 1869.00
19/07/17     SAMARTH SALES CONSUMER        CR/412           878                   764.00
19/07/17     GURUKRUPA DISTRIBUTORS        CR/413           1441                  400.00
19/07/17     GURUKRUPA DISTRIBUTORS        CR/414           1453                  218.00
19/07/17     DHANWANTARI MEDICAL STORE     CR/415           4721                 2378.00
20/07/17     PANDURANG DRUG HOUSE          CR/408           6298                 1912.00
20/07/17     METRO PHARMA                  CA/16            3713                  609.00
20/07/17     APTE AGENCIES                 CR/416           16673                1695.00
20/07/17     AKSHAR MEDICALS               CR/417           1654                  493.00
20/07/17     DHANWANTARI MEDICAL STORE     CR/420           4859                 3620.00
21/07/17     SHIVLILA AGENCIES BARSHI.     CR/418           4275                  616.00
21/07/17     RAJENDRA AGENCIES BARSHI      CR/419           1308                  318.00
22/07/17     RAJENDRA AGENCIES BARSHI      CR/421           1317                 1204.00
22/07/17     SUMANT DISTRIBUTORS PVT.      CR/422           917                   979.00
22/07/17     AKSHAY ENTERPRISES            CR/423           31                   1888.00
22/07/17     RAJ DISTRIBUTORS BARSHI       CR/424           524                   920.00
22/07/17     SHREE MANJUSHREE PHARMA       CR/425           5030                 1205.00
22/07/17     BAHUBALI PHARMACEUTICAL D     CR/426           3390                 1057.00
22/07/17     DHANWANTARI MEDICAL STORE     CR/427           4990                 1860.00
22/07/17     SURYA DISTRIBUTORS BARSHI     CR/428           685                  3058.00
22/07/17     SHRI VAISHNAVI DISTRIBUTO     CR/429           705                  1690.00
22/07/17     SHRI GANRAJ DISTRIBUTORS      CR/430           919                   661.00
22/07/17     RAJENDRA AGENCIES BARSHI      CR/431           1333                  199.00
22/07/17     PANDURANG DRUG HOUSE          CR/439           6590                 4069.00
24/07/17     SURYA DISTRIBUTORS BARSHI     CR/432           700                  3591.00
24/07/17     SURAJ MEDICAL &GENERAL ST     CR/433           2120                 1915.00
24/07/17     GURUKRUPA DISTRIBUTORS        CR/434           1518                 1369.00
24/07/17     SHRI MANJUSHRI PHARMA         CR/435           5164                 3258.00
24/07/17     RAJ DISTRIBUTORS BARSHI       CR/436           558                  1706.00
24/07/17     DHANWANTARI MEDICAL STORE     CR/437           5009                 1717.00
24/07/17     APTE AGENCIES                 CR/448           17183                2283.00
26/07/17     BAHUBALI PHARMACEUTICAL D     CR/438           3502                  445.00
26/07/17     SURYA DISTRIBUTORS BARSHI     CR/440           712                  7254.00
26/07/17     SHIVLILA AGENCIES BARSHI.     CR/443           4607                 1230.00
26/07/17     APTE AGENCIES                 CR/449           17576                2092.00
26/07/17     APTE AGENCIES                 CR/450           18035                1125.00
26/07/17     APTE AGENCIES                 CR/451           17778                 334.00
26/07/17     PANDURANG DRUG HOUSE          CR/452           6820                 2345.00
26/07/17     DHANWANTARI MEDICAL STORE     CR/453           5216                 1024.00
26/07/17     BALDAWA ENTERPRISES SOLAP     CR/454           987663                996.00
26/07/17     SHIVLILA AGENCIES BARSHI.     CR/455           4677                  664.00
26/07/17     RUBY PHARMA SOLAPUR          CR/456           19364                6984.00
27/07/17     SHIVAM AGENCIES, BARSHI       CR/441           8242                  294.00
27/07/17     RUBY PHARMA SOLAPUR          CR/442           19192                 960.00
27/07/17     RAJ DISTRIBUTORS BARSHI       CR/465           599                  1284.00
28/07/17     SURAJ MEDICAL &GENERAL ST     CR/444           2239                  466.00
28/07/17     RAJENDRA AGENCIES BARSHI      CR/445           1406                 2212.00
28/07/17     RAJENDRA MEDICAL STORES       CR/446           734                   960.00
28/07/17     METRO PHARMA                  CA/17                4064                  823.00
28/07/17     BAHUBALI PHARMACEUTICAL D     CR/447           3650                  432.00
29/07/17     SURYA DISTRIBUTORS BARSHI     CR/457           733                   636.00
29/07/17     RAJ DISTRIBUTORS BARSHI       CR/458           621                  1537.00
29/07/17     SHRI VAISHNAVI DISTRIBUTO     CR/459           744                  1765.00
29/07/17     SURYA DISTRIBUTORS BARSHI     CR/460           725                  1736.00
29/07/17     RAJENDRA MEDICAL STORES       CR/461           736                  1803.00
29/07/17     SURAJ MEDICAL &GENERAL ST     CR/470           2277                 1378.00
29/07/17     SHIVAM SALES SOLAPUR          CR/472           OS18-138             1315.00
29/07/17     BAHUBALI PHARMACEUTICAL D     CR/473           3722                  174.00
31/07/17     RAJ DISTRIBUTORS BARSHI       CR/462           601                   476.00
31/07/17     SHRI MANJUSHRI PHARMA         CR/463           5465                  572.00
31/07/17     SHRI MANJUSHRI PHARMA         CR/464           5466                 2652.00
31/07/17     BAHUBALI PHARMACEUTICAL D     CR/466           3695                 2307.00
31/07/17     APTE AGENCIES                 CR/467           18158                4040.00
31/07/17     GURUKRUPA DISTRIBUTORS        CR/469           1587                  287.00
31/07/17     SHIVLILA AGENCIES BARSHI.     CR/471           4777                  938.00
31/07/17     SAMARTH SALES CONSUMER        CR/474           S132                  759.00
01/08/17     DHANWANTARI MEDICAL STORE     CR/468           5394                 1860.00
01/08/17     RAJ DISTRIBUTORS BARSHI       CR/475           657                  1437.00
01/08/17     SHRI MANJUSHRI PHARMA         CR/476           5534                  991.00
01/08/17     RAJ DISTRIBUTORS BARSHI       CR/477           664                   480.00
02/08/17     SHIVLILA AGENCIES BARSHI.     CR/478           4881                  823.00
02/08/17     SHRI GANRAJ DISTRIBUTORS      CR/479           SG-1037               480.00
02/08/17     KRISHNA DISTRIBUTORS          CR/484           3127                 2997.00
03/08/17     BAHUBALI PHARMACEUTICAL D     CR/480           3829                  768.00
03/08/17     SHIVAM AGENCIES, BARSHI       CR/481           8377                  770.00
03/08/17     PANDURANG DRUG HOUSE          CR/482           7180                  689.00
03/08/17     APTE AGENCIES                 CR/483           18789                1677.00
03/08/17     SURYA DISTRIBUTORS BARSHI     CR/485           768                  4260.00
03/08/17     SHREE MANJUSHREE PHARMA       CR/486           5574                 3327.00
04/08/17     SAMARTH SALES CONSUMER        CR/487           S158                  666.00
04/08/17     SHREE MANJUSHREE PHARMA       CR/488           5679                  884.00
04/08/17     SHRI BALAJI AGENCIES          CR/489           719                  1531.00
05/08/17     APTE AGENCIES                 CR/490           19090                 847.00
05/08/17     KRISHNA DISTRIBUTORS          CR/491           3176                  652.00
05/08/17     DHANWANTARI MEDICAL STORE     CR/492           5668                 1116.00
05/08/17     APTE AGENCIES                 CR/493           19177                 824.00
05/08/17     SHRI GANRAJ DISTRIBUTORS      CR/494           1081                  832.00
07/08/17     SHIVLILA AGENCIES BARSHI.     CR/495           5093                  295.00
07/08/17     GURUKRUPA DISTRIBUTORS        CR/496           1666                  821.00
07/08/17     SHREE MANJUSHREE PHARMA       CR/497           5755                 1430.00
07/08/17     SHIVAM SALES SOLAPUR          CR/498           OS18-179              246.00
07/08/17     PANDURANG DRUG HOUSE          CR/499           7449                 1165.00
07/08/17     APTE AGENCIES                 CR/500           19243                1606.00
07/08/17     PANDURANG DRUG HOUSE          CR/511           7666                 2190.00
09/08/17     SURYA DISTRIBUTORS BARSHI     CR/501           795                  5586.00
09/08/17     SURYA DISTRIBUTORS BARSHI     CR/502           796                  1682.00
09/08/17     TRIMURTI DISTRIBUTORS         CR/503           1693                  628.00
09/08/17     BALDAWA ENTERPRISES SOLAP     CR/506           997315               3669.00
09/08/17     RAJENDRA AGENCIES BARSHI      CR/507           845                  1156.00
10/08/17     NEPTUNE MEDICAL AND GENER     CR/504           846                   531.00
10/08/17     SHIVLILA AGENCIES BARSHI.     CR/505           5191                  944.00
10/08/17     APTE AGENCIES                 CR/508           19836                 738.00
10/08/17     APTE AGENCIES                 CR/509           19837                 981.00
10/08/17     DHANWANTARI MEDICAL STORE     CR/510           5866                 1267.00
11/08/17     SHREE MANJUSHREE PHARMA       CR/520           5963                  971.00
12/08/17     KRISHNA DISTRIBUTORS          CR/512           3356                  583.00
12/08/17     SHREE MANJUSHREE PHARMA       CR/517           6029                  869.00
12/08/17     RAJ DISTRIBUTORS BARSHI       CR/518           774                  1425.00
12/08/17     GURUKRUPA DISTRIBUTORS        CR/521           1723                 1495.00
12/08/17     APTE AGENCIES                 CR/522           20216                2223.00
14/08/17     SURAJ MEDICAL &GENERAL ST     CR/513           2575                  329.00
14/08/17     APTE AGENCIES                 CR/514           20070                 683.00
14/08/17     BAHUBALI PHARMACEUTICAL D     CR/515           4082                  211.00
14/08/17     SAMARTH SALES CONSUMER        CR/516           5200                  364.00
14/08/17     SHIVAM AGENCIES, BARSHI       CR/519           8531                  671.00
14/08/17     APTE AGENCIES                 CR/523           20307                 660.00
14/08/17     GURUKRUPA DISTRIBUTORS        CR/524           1726                  487.00
14/08/17     SHREE MANJUSHREE PHARMA       CR/525           6084                 2183.00
14/08/17     K-MAX PHARMA BARSHI           CR/526           KM 1269               707.00
14/08/17     K-MAX PHARMA BARSHI           CR/529           1270                  840.00
15/08/17     SHIVLILA AGENCIES BARSHI.     CR/527           5383                  590.00
15/08/17     DHANWANTARI MEDICAL STORE     CR/528           6022                 1235.00
16/08/17     APTE AGENCIES                 CR/530           20693                2069.00
16/08/17     APTE AGENCIES                 CR/531           20701                 201.00
16/08/17     PANDURANG DRUG HOUSE          CR/532           7917                 1662.00
16/08/17     SHIVLILA AGENCIES BARSHI.     CR/533           5425                 1487.00
16/08/17     DHANWANTARI MEDICAL STORE     CR/534           6147                 1233.00
16/08/17     SHRI BALAJI AGENCIES          CR/535           756                  1255.00
16/08/17     SURAJ MEDICAL &GENERAL ST     CR/536           2638                 2840.00
16/08/17     PANDURANG DRUG HOUSE          CR/537           7993                  632.00
17/08/17     PANDURANG DRUG HOUSE          CR/538           8004                  806.00
17/08/17     SHREE MANJUSHREE PHARMA       CR/539           6197                 1433.00
17/08/17     RAJ DISTRIBUTORS BARSHI       CR/540           846                  1153.00
17/08/17     KRISHNA DISTRIBUTORS          CR/541           3465                  176.00
17/08/17     APTE AGENCIES                 CR/542           21042                1319.00
17/08/17     DHANWANTARI MEDICAL STORE     CR/545           6196                 3080.00
17/08/17     SHRI BALAJI AGENCIES          CR/546           771                  1652.00
19/08/17     SHREE MANJUSHREE PHARMA       CR/543           6322                 3323.00
19/08/17     SHREE MANJUSHREE PHARMA       CR/544           6338                 3746.00
21/08/17     SHREE MANJUSHREE PHARMA       CR/547           6389                 4669.00
21/08/17     SAMARTH SALES CONSUMER        CR/548           239                   568.00
21/08/17     RAJENDRA MEDICAL STORES       CR/549           933                  2174.00
21/08/17     SHRI GANRAJ DISTRIBUTORS      CR/550           1273                  943.00
21/08/17     SHIVLILA AGENCIES BARSHI.     CR/551           5664                  576.00
21/08/17     SHIVAM SALES SOLAPUR          CR/552           243                   783.00
21/08/17     GURUKRUPA DISTRIBUTORS        CR/553           1836                 2044.00
21/08/17     DHANWANTARI MEDICAL STORE     CR/554           6374                  926.00
21/08/17     APTE AGENCIES                 CR/555           21356                2696.00
23/08/17     APTE AGENCIES                 CR/556           21779                1105.00
23/08/17     SHRI BALAJI AGENCIES          CR/557           783                   903.00
23/08/17     RAJENDRA MEDICAL STORES       CR/558           1652                 1610.00
23/08/17     SHREE MANJUSHREE PHARMA       CR/559           6469                 1452.00
23/08/17     KALE DISTRIBUTORS BARSHI      CR/560           285                   728.00
23/08/17     APTE AGENCIES                 CR/561           21865                1482.00
23/08/17     SURAJ MEDICAL &GENERAL ST     CR/562           2800                  462.00
23/08/17     RAJENDRA AGENCIES BARSHI      CR/563           1689                 2015.00
24/08/17     DHANWANTARI MEDICAL STORE     CR/564           6562                 1925.00
24/08/17     KRISHNA DISTRIBUTORS          CR/565           3693                  735.00
24/08/17     SHRI BALAJI AGENCIES          CR/566           797                  1352.00
24/08/17     PANDURANG DRUG HOUSE          CR/567           8401                  689.00
25/08/17     TRIMURTI DISTRIBUTORS         CR/568           1984                 1250.00
25/08/17     SHIVLILA AGENCIES BARSHI.     CR/569           5855                  576.00
26/08/17     GURUKRUPA DISTRIBUTORS        CR/570           1896                  497.00
26/08/17     METRO PHARMA                  CA/18            5071                  859.00
26/08/17     SURAJ MEDICAL &GENERAL ST     CR/571           2868                 1056.00
26/08/17     VIVEK AGENCIES KURDUWADI      CR/572           306                  1989.00
26/08/17     RAJENDRA MEDICAL STORES       CR/573           989                  1499.00
26/08/17     DHANWANTARI MEDICAL STORE     CR/574           6701                  699.00
26/08/17     APTE AGENCIES                 CR/575           22267                1691.00
26/08/17     KRISHNA DISTRIBUTORS          CR/581           3753                  903.00
28/08/17     APTE AGENCIES                 CR/576           22437                1242.00
28/08/17     RAJENDRA AGENCIES BARSHI      CR/577           1737                 2562.00
28/08/17     GURUKRUPA DISTRIBUTORS        CR/578           1935                 1256.00
28/08/17     SHREE MANJUSHREE PHARMA       CR/579           6700                 1342.00
28/08/17     SHIVAM AGENCIES, BARSHI       CR/580           8842                  635.00
29/08/17     SHIVAM AGENCIES               CR/582           8851                  739.00
30/08/17     ORTBIT PHARMA BARSHI.         CR/585           359                   826.00
31/08/17     PANDURANG DRUG HOUSE          CR/583           8782                 3403.00
01/09/17     SURAJ MEDICAL &GENERAL ST     CR/584           2968                 1810.00
01/09/17     APTE AGENCIES                 CR/587           23162                 126.00
01/09/17     APTE AGENCIES                 CR/588           23331                1208.00
01/09/17     BAHUBALI PHARMACEUTICAL D     CR/596           4737                  480.00
01/09/17     RAJENDRA AGENCIES BARSHI      CR/597           1794                  326.00
02/09/17     APTE AGENCIES                 CR/586           23749                1855.00
02/09/17     SURYA DISTRIBUTORS BARSHI     CR/594           932                  1081.00
02/09/17     SURYA DISTRIBUTORS BARSHI     CR/595           915                  4592.00
04/09/17     SHRI GANRAJ DISTRIBUTORS      CR/591           1416                  440.00
04/09/17     SHIVAM SALES SOLAPUR          CR/592           18-323                326.00
04/09/17     GURUKRUPA DISTRIBUTORS        CR/593           2021                  689.00
04/09/17     SUMANT DISTRIBUTORS PVT.      CR/598           3874                  752.00
04/09/17     SURAJ MEDICAL &GENERAL ST     CR/599           3019                 2016.00
04/09/17     SHIVLILA AGENCIES BARSHI.     CR/600           6245                  582.00
04/09/17     SURYA DISTRIBUTORS BARSHI     CR/603           933                   325.00
04/09/17     DHANWANTARI MEDICAL STORE     CR/604           7202                 2086.00
04/09/17     BAHUBALI PHARMACEUTICAL D     CR/605           4834                 1353.00
04/09/17     RAJENDRA AGENCIES BARSHI      CR/606           1822                 1702.00
05/09/17     K-MAX PHARMA BARSHI           CR/589           1302                  712.00
05/09/17     KRISHNA DISTRIBUTORS          CR/590           3983                 1485.00
05/09/17     SURYA DISTRIBUTORS BARSHI     CR/601           948                  6493.00
05/09/17     KALE DISTRIBUTORS BARSHI      CR/602           327                   388.00
05/09/17     SANJIVANI MEDICALS BARSHI     CR/607           341                  1397.00
05/09/17     RAJ DISTRIBUTORS BARSHI       CR/609           1032                  599.00
05/09/17     SURAJ MEDICAL &GENERAL ST     CR/610           3055                  342.00
05/09/17     APTE AGENCIES                 CR/611           23934                 617.00
05/09/17     METRO PHARMA                  CA/19            5475                  419.00
06/09/17     SANJIVANI MEDICALS BARSHI     CR/608           348                  1581.00
07/09/17     SURYA DISTRIBUTORS BARSHI     CR/612           961                  3276.00
07/09/17     BAHUBALI PHARMACEUTICAL D     CR/613           4924                  921.00
07/09/17     SHREE MANJUSHREE PHARMA       CR/614           7093                 3211.00
07/09/17     DHANWANTARI MEDICAL STORE     CR/615           7255                  430.00
07/09/17     TRIMURTI DISTRIBUTORS         CR/616           2187                 1632.00
07/09/17     PANDURANG DRUG HOUSE          CR/617           9214                 1385.00
07/09/17     SHREE MANJUSHREE PHARMA       CR/618           7101                  614.00
07/09/17     KRISHNA DISTRIBUTORS          CR/619           4035                  256.00
07/09/17     PANDURANG DRUG HOUSE          CR/620           9276                 1642.00
07/09/17     VIVEK AGENCIES KURDUWADI      CR/621           396                  1612.00
07/09/17     SHREE MEDICALS                CR/622           3626                 1264.00
07/09/17     DHANWANTARI MEDICAL STORE     CR/625           7324                 1056.00
08/09/17     DHANWANTARI MEDICAL STORE     CR/626           7338                  980.00
08/09/17     APTE AGENCIES                 CR/627           24318                2488.00
09/09/17     GURUKRUPA DISTRIBUTORS        CR/624           2052                  779.00
09/09/17     KRISHNA DISTRIBUTORS          CR/628           4099                 1304.00
09/09/17     APTE AGENCIES                 CR/629           24506                 947.00
11/09/17     KRISHNA DISTRIBUTORS          CR/623           4056                 1348.00
11/09/17     DHANWANTARI MEDICAL STORE     CR/630           7442                  519.00
11/09/17     RAJ DISTRIBUTORS BARSHI       CR/631           1102                  208.00
11/09/17     SHIVLILA AGENCIES BARSHI.     CR/638           6503                 1125.00
11/09/17     SHREE MANJUSHREE PHARMA       CR/639           7302                 2688.00
11/09/17     TRIMURTI DISTRIBUTORS         CR/642           2259                  934.00
11/09/17     GURUKRUPA DISTRIBUTORS        CR/644           2107                  624.00
11/09/17     GURUKRUPA DISTRIBUTORS        CR/645           2108                  625.00
11/09/17     APTE AGENCIES                 CR/646           25131                1872.00
11/09/17     SURAJ MEDICAL &GENERAL ST     CR/680           3173                 1128.00
11/09/17     SAMARTH SALES CONSUMER        CR/681           420                  2251.00
11/09/17     DHANWANTARI MEDICAL STORE     CR/682           8057                  647.00
12/09/17     SHIVAM AGENCIES, BARSHI       CR/640           9142                  931.00
12/09/17     KRISHNA DISTRIBUTORS          CR/641           4168                 1480.00
12/09/17     APTE AGENCIES                 CR/643           24902                 758.00
13/09/17     KRISHNA DISTRIBUTORS          CR/636           4206                 2682.00
13/09/17     PANDURANG DRUG HOUSE          CR/637           9581                  986.00
13/09/17     TRIMURTI DISTRIBUTORS         CR/647           2297                 1328.00
14/09/17     RAJ DISTRIBUTORS BARSHI       CR/632           1129                 1152.00
14/09/17     DHANWANTARI MEDICAL STORE     CR/633           7621                 4227.00
14/09/17     RAJENDRA MEDICAL STORES       CR/634           1182                  551.00
14/09/17     SHIVAM AGENCIES, BARSHI       CR/635           9181                  384.00
15/09/17     SHREE MANJUSHREE PHARMA       CR/648           7515                 4025.00
15/09/17     RAJENDRA AGENCIES BARSHI      CR/649           1948                  213.00
15/09/17     M/S UNITED MEDICAL AGENCI     CR/650           55292                1430.00
15/09/17     APTE AGENCIES                 CR/651           25487                 656.00
15/09/17     SHRI BALAJI AGENCIES          CR/652           881                   556.00
15/09/17     SURYA DISTRIBUTORS BARSHI     CR/653           1026                  728.00
15/09/17     SHRI VAISHNAVI DISTRIBUTO     CR/654           1104                 1518.00
15/09/17     SHIVLILA AGENCIES BARSHI.     CR/655           6719                  688.00
16/09/17     KRISHNA DISTRIBUTORS          CR/656           4310                  303.00
16/09/17     VIVEK AGENCIES KURDUWADI      CR/657           450                   792.00
16/09/17     APTE AGENCIES                 CR/658           25652                1043.00
18/09/17     RAJENDRA MEDICAL STORES       CR/659           1212                 1008.00
18/09/17     SHRI BALAJI AGENCIES          CR/660           894                   904.00
18/09/17     SURYA DISTRIBUTORS BARSHI     CR/661           1047                 5934.00
18/09/17     VIVEK AGENCIES KURDUWADI      CR/662           492                   533.00
18/09/17     DHANWANTARI MEDICAL STORE     CR/663           7830                 1024.00
18/09/17     GURUKRUPA DISTRIBUTORS        CR/664           2188                  895.00
18/09/17     SHREE MANJUSHREE PHARMA       CR/665           7668                 2400.00
18/09/17     SAMARTH SALES CONSUMER        CR/666           398                   299.00
18/09/17     RAJENDRA AGENCIES BARSHI      CR/667           2001                 1571.00
19/09/17     APTE AGENCIES                 CR/668           26055                1068.00
19/09/17     APTE AGENCIES                 CR/669           26109                 285.00
19/09/17     TRIMURTI DISTRIBUTORS         CR/670           2409                  849.00
19/09/17     TRIMURTI DISTRIBUTORS         CR/671           2412                 1328.00
19/09/17     APTE AGENCIES                 CR/672           26257                 324.00
20/09/17     DHANWANTARI MEDICAL STORE     CR/673           7965                 1539.00
20/09/17     SHIVLILA AGENCIES BARSHI.     CR/674           6921                  576.00
21/09/17     SHREE MANJUSHREE PHARMA       CR/675           7804                 3022.00
21/09/17     SHREE MANJUSHREE PHARMA       CR/676           7811                 1847.00
21/09/17     KRISHNA DISTRIBUTORS          CR/677           4416                  848.00
21/09/17     SURYA DISTRIBUTORS BARSHI     CR/678           1065                 1280.00
21/09/17     SURYA DISTRIBUTORS BARSHI     CR/679           1066                 2339.00
22/09/17     APTE AGENCIES                 CR/683           26451                 314.00
22/09/17     PANDURANG DRUG HOUSE          CR/709           10090                2528.00
23/09/17     APTE AGENCIES                 CR/684           26860                 247.00
23/09/17     SHREE MANJUSHREE PHARMA       CR/685           7880                 1296.00
23/09/17     SAMARTH SALES                 CR/686           398                   753.00
23/09/17     RAJ DISTRIBUTORS BARSHI       CR/687           1232                 1214.00
23/09/17     SHREE MANJUSHREE PHARMA       CR/688           7944                  735.00
23/09/17     K-MAX PHARMA BARSHI           CR/689           1359                  670.00
23/09/17     RAJENDRA AGENCIES BARSHI      CR/690           2067                 2266.00
25/09/17     APTE AGENCIES                 CR/691           26934                 859.00
25/09/17     METRO PHARMA BARSHI.          CA/20            6184                 1014.00
25/09/17     SHREE MANJUSHREE PHARMA       CR/692           8004                  966.00
25/09/17     DHANWANTARI MEDICAL STORE     CR/697           8196                  906.00
25/09/17     SURYA DISTRIBUTORS BARSHI     CR/698           1099                 4659.00
25/09/17     SHIVLILA AGENCIES BARSHI.     CR/699           7212                  344.00
25/09/17     KALE DISTRIBUTORS BARSHI      CR/700           414                   601.00
26/09/17     APTE AGENCIES                 CR/693           27142                1016.00
26/09/17     APTE AGENCIES                 CR/694           27001                 842.00
26/09/17     BAHUBALI PHARMACEUTICAL D     CR/695           5504                  842.00
27/09/17     SHREE MANJUSHREE PHARMA       CR/696           8067                 1688.00
27/09/17     SURYA DISTRIBUTORS BARSHI     CR/701           1105                 2844.00
27/09/17     BAHUBALI PHARMACEUTICAL D     CR/702           5579                  184.00
27/09/17     KRISHNA DISTRIBUTORS          CR/703           4595                  172.00
27/09/17     SURAJ MEDICAL &GENERAL ST     CR/704           3535                 2295.00
27/09/17     RAJENDRA MEDICAL STORES       CR/705           1332                 1162.00
28/09/17     PRASAD AGENCIES               CR/706           1899                 1419.00
28/09/17     DHANWANTARI MEDICAL STORE     CR/707           8401                 2950.00
28/09/17     GURUKRUPA DISTRIBUTORS        CR/708           2523                 1412.00
28/09/17     SHREE MANJUSHREE PHARMA       CR/710           8112                 1488.00
28/09/17     PANDURANG DRUG HOUSE          CR/711           1670                 1670.00
28/09/17     KRISHNA DISTRIBUTORS          CR/712           4625                  363.00
02/10/17     KRISHNA DISTRIBUTORS          CR/713           4664                 1632.00
02/10/17     SHREE MANJUSHREE PHARMA       CR/714           1544                 1382.00
02/10/17     KRISHNA DISTRIBUTORS          CR/715           4683                  709.00
02/10/17     SHREE MEDICALS                CR/716           4142                  844.00
02/10/17     SHREE MANJUSHREE PHARMA       CR/717           8316                 1474.00
02/10/17     SHREE MANJUSHREE PHARMA       CR/718           8332                 3700.00
02/10/17     SAMARTH SALES                 CR/719           474                   546.00
02/10/17     TRIMURTI DISTRIBUTORS         CR/720           2621                 1716.00
02/10/17     SHRI VAISHNAVI DISTRIBUTO     CR/721           2223                  544.00
02/10/17     RAJENDRA MEDICAL STORES       CR/722           1392                  524.00
02/10/17     SURYA DISTRIBUTORS BARSHI     CR/723           1121                 2797.00
02/10/17     APTE AGENCIES                 CR/724           28122                1119.00
02/10/17     SHIVLILA AGENCIES BARSHI.     CR/725           7405                  384.00
02/10/17     APTE AGENCIES                 CR/726           28101                1600.00
02/10/17     RAJENDRA AGENCIES BARSHI      CR/734           2149                 2257.00
04/10/17     APTE AGENCIES                 CR/727           28601                1807.00
04/10/17     SHIVLILA AGENCIES BARSHI.     CR/728           7505                 1380.00
06/10/17     BAHUBALI PHARMACEUTICAL D     CR/729           5839                  208.00
06/10/17     SHREE MANJUSHREE PHARMA       CR/730           8482                  533.00
06/10/17     APTE AGENCIES                 CR/731           28930                1611.00
06/10/17     SHREE MEDICALS                CR/732           4234                  454.00
06/10/17     KRISHNA DISTRIBUTORS          CR/733           4770                  711.00
06/10/17     SHIVLILA AGENCIES BARSHI.     CR/735           7605                  394.00
06/10/17     DHANWANTARI MEDICAL STORE     CR/736           8801                  747.00
06/10/17     SURAJ MEDICAL &GENERAL ST     CR/737           3722                 1248.00
06/10/17     METRO PHARMA BARSHI.          CA/21            6613                  865.00
06/10/17     PANDURANG DRUG HOUSE          CR/738           10873                 768.00
06/10/17     PANDURANG DRUG HOUSE          CR/739           10900                 720.00
07/10/17     SHREE MANJUSHREE PHARMA       CR/740           8542                 4870.00
07/10/17     SAMARTH SALES                 CR/741           500                   294.00
07/10/17     SHIVLILA AGENCIES BARSHI.     CR/743           7642                 1131.00
07/10/17     TRIMURTI DISTRIBUTORS         CR/744           2736                 2190.00
08/10/17     RAJ DISTRIBUTORS BARSHI       CR/748           1385                 3265.00
09/10/17     PANDURANG DRUG HOUSE          CR/742           11013                2033.00
09/10/17     DHANWANTARI MEDICAL STORE     CR/749           8888                 2055.00
09/10/17     SURYA DISTRIBUTORS BARSHI     CR/750           1159                 5635.00
09/10/17     RAJENDRA AGENCIES BARSHI      CR/751           1462                 1581.00
09/10/17     SURAJ MEDICAL &GENERAL ST     CR/752           3757                  870.00
09/10/17     RAJ DISTRIBUTORS BARSHI       CR/753           1393                  307.00
09/10/17     KRISHNA DISTRIBUTORS          CR/765           4845                  738.00
09/10/17     APTE AGENCIES                 CR/768           29287                1913.00
09/10/17     RAJ DISTRIBUTORS BARSHI       CR/769           1401                  342.00
09/10/17     KRISHNA DISTRIBUTORS          CR/771           4861                 1006.00
09/10/17     SHREE MANJUSHREE PHARMA       CR/772           8605                  904.00
09/10/17     SHIVLILA AGENCIES BARSHI.     CR/773           7736                  186.00
09/10/17     SURAJ MEDICAL &GENERAL ST     CR/774           3831                 1841.00
09/10/17     KRISHNA DISTRIBUTORS          CR/775           4941                  176.00
10/10/17     KALE DISTRIBUTORS BARSHI      CR/745           451                   424.00
10/10/17     BAHUBALI PHARMACEUTICAL D     CR/746           5982                  766.00
10/10/17     RAJ DISTRIBUTORS BARSHI       CR/747           1404                 1158.00
10/10/17     BAHUBALI PHARMACEUTICAL D     CR/754           5987                 1412.00
10/10/17     APTE AGENCIES                 CR/755           29629                 238.00
10/10/17     APTE AGENCIES                 CR/756           29537                 347.00
10/10/17     RAJ DISTRIBUTORS BARSHI       CR/757           1411                  309.00
